feature label,cluster,Poor Mental Health Among Adults (2023),cluster_label
"Council District 21, Nashville, TN",0,24.3146,Extreme Risk
"Council District 17, Nashville, TN",0,23.1416,Extreme Risk
"Council District 6, Louisville, KY",0,22.4983,Extreme Risk
"Council District 1, Newark, OH",0,22.4126,Extreme Risk
"Council District 7, Philadelphia, PA",0,22.0369,Extreme Risk
"Council District 2, Whitehall, OH",0,21.8074,Extreme Risk
"Council District 1, Whitehall, OH",0,21.7364,Extreme Risk
"Council District 2, Nashville, TN",0,21.6817,Extreme Risk
"Council District 10, Jacksonville, FL",0,21.6494,Extreme Risk
"Council District 3, Philadelphia, PA",0,21.583,Extreme Risk
"Council District 9, Jacksonville, FL",0,21.5643,Extreme Risk
"Council District 2, Newark, OH",0,21.3685,Extreme Risk
"Council District 19, Indianapolis, IN",0,21.1957,Extreme Risk
"Council District 5, Louisville, KY",0,20.9132,Extreme Risk
"Council District 9, Indianapolis, IN",0,20.669,Extreme Risk
"Council District 5, Philadelphia, PA",0,20.6327,Extreme Risk
"Council District 5, Tampa, FL",0,20.4149,Extreme Risk
"Council District 15, Indianapolis, IN",0,20.3082,Extreme Risk
"Council District 8, Indianapolis, IN",0,20.1745,Extreme Risk
"Council District 18, Indianapolis, IN",0,20.1507,Extreme Risk
"Council District 4, Louisville, KY",0,20.1314,Extreme Risk
"Council District 15, Louisville, KY",0,19.8532,Extreme Risk
"Council District 4, Reynoldsburg, OH",0,19.8021,Extreme Risk
"Council District 5, Orlando, FL",0,19.8012,Extreme Risk
"Council District 5, Lancaster, OH",0,19.6966,Extreme Risk
"Council District 1, Louisville, KY",0,19.6697,Extreme Risk
"Council District 12, Indianapolis, IN",0,19.6479,Extreme Risk
"Council District 5, Indianapolis, IN",0,19.6208,Extreme Risk
"Council District 3, Louisville, KY",0,19.5207,Extreme Risk
"Council District 8, Philadelphia, PA",0,19.2663,Extreme Risk
"Council District 13, Indianapolis, IN",0,19.234,Extreme Risk
"Council District 9, Philadelphia, PA",0,19.2304,Extreme Risk
"Council District 5, San Antonio, TX",0,19.0683,Extreme Risk
"Philadelphia, PA",0,18.9,Extreme Risk
"Council District 5, Miami, FL",0,18.5032,Extreme Risk
"Council District 4, Philadelphia, PA",0,18.3001,Extreme Risk
"Council District 1, Miami, FL",0,15.7308,Extreme Risk
"Council District 3, Miami, FL",0,15.3282,Extreme Risk
"Miami, FL",0,15.0,Extreme Risk
"Council District 4, Miami, FL",0,13.2431,Extreme Risk
"Council District 4, Newark, OH",1,19.3339,Low Risk
"Council District 3, Marysville, OH",1,19.0983,Low Risk
"Council District 1, Grove, OH",1,18.297,Low Risk
"Council District 4, Marysville, OH",1,17.9258,Low Risk
"Columbus, OH Area",1,17.8581,Low Risk
"Council District 2, Grove, OH",1,17.8467,Low Risk
"Council District 2, Lancaster, OH",1,17.4177,Low Risk
"Council District 2, Heath, OH",1,17.2999,Low Risk
"Council District 2, Marysville, OH",1,17.2293,Low Risk
"Council District 2, Jacksonville, FL",1,17.2052,Low Risk
"Council District 6, Newark, OH",1,17.1343,Low Risk
"Council District 1, Gahanna, OH",1,17.1308,Low Risk
"Council District 2, Reynoldsburg, OH",1,17.1235,Low Risk
"Council District 1, Marysville, OH",1,17.1,Low Risk
"Council District 22, Indianapolis, IN",1,17.0524,Low Risk
"Council District 4, Delaware, OH",1,17.0417,Low Risk
"Council District 1, Circleville, OH",1,17.0353,Low Risk
"Council District 3, Jacksonville, FL",1,17.0087,Low Risk
"Council District 2, Pataskala, OH",1,17.0,Low Risk
"Council District 24, Indianapolis, IN",1,16.9958,Low Risk
"Council District 4, Grove, OH",1,16.8692,Low Risk
"Council District 1, Heath, OH",1,16.8025,Low Risk
"Council District 3, Heath, OH",1,16.5434,Low Risk
"Council District 1, Delaware, OH",1,16.5133,Low Risk
"Council District 10, Philadelphia, PA",1,16.4547,Low Risk
"Council District 1, Pataskala, OH",1,16.442,Low Risk
