geoid,Excess Housing Costs,Married Couple HH,Single Male HH,Single Female HH,Poverty,With Insurance,Without Insurance,Edu <9th Grade,"Education 9th to 12th Grade, No Diploma (2020-2024)",Edu High School,Edu Some College,Edu Associate,Edu Bachelors,Edu Graduate,Lead Paint EJI,Drinking Water NC,Drinking Water EJI,MH Providers Male,MH Providers Female,MH Providers Total,Total HC Workers,MH Provider Ratio,Poor Mental Health %,City,pop_proxy,weight_norm,poverty_rate,housing_cost_rate,grad_edu_rate,married_hh_rate,single_female_hh_rate,uninsured_rate
4802282,16261.8764,17500.4264,1588.1652,3293.6781,9702.1144,86109.7864,9937.7103,1761.3054,1712.7739,8658.4419,12699.3233,4521.5905,30395.0584,14652.1184,13.796,0.0133,9.9716,51,157,212,2164,455.11,16.1234,Austin,96047.4967,0.049480625972786095,0.10101266270000872,0.16930901532787862,0.15254916946555394,0.18220406358530752,0.034291823538764456,0.10346554752480577
4802288,13840.5463,20383.4213,1863.0392,3153.936,5960.9445,89995.6324,7241.4197,1449.4527,1375.5061,7330.4672,9744.5502,4123.7021,26399.8698,20525.7857,1.4352,0.0,0.0,22,75,97,1774,1006.01,14.5732,Austin,97237.0521,0.050093447210648796,0.061302590614112064,0.14233672930599564,0.21108799751450388,0.2096239163556836,0.03243520341971145,0.07447104856186235
4802286,18490.4357,17169.1001,1446.7465,2952.2631,8336.4972,87800.7652,9369.407,1534.7553,1527.0094,7950.0262,11801.131,4407.3537,29413.4159,18657.2104,19.5881,0.0096,1.6587,26,90,117,3023,835.55,15.9657,Austin,97170.1722,0.05005899280599801,0.085791876451193,0.19028725579169253,0.19200355390999388,0.17668923520508895,0.03038208795015442,0.09642167309369969
4803976,16074.2025,21409.6879,962.6633,2730.2009,5778.4111,92010.2049,5989.4041,551.5591,517.6927,5759.0239,8411.8813,3414.8976,30204.5126,24284.0597,15.2341,0.1111,2.0471,161,487,648,7251,151.96,13.7408,Austin,97999.609,0.05048629235548085,0.05896301215842445,0.16402145521360995,0.2477949876821684,0.2184648454582563,0.027859019733234514,0.06111598857513222
4802289,17164.2799,15714.9984,1832.3261,6193.4722,16668.5697,88018.7512,16647.5228,4652.8253,4185.5442,13806.3831,12519.6421,4115.8621,22555.6469,13332.1079,31.3257,0.0028,9.153,25,76,101,1028,1053.67,17.7182,Austin,104666.274,0.053920746856478415,0.15925292656422865,0.16398898379640614,0.12737608796422845,0.15014242560668964,0.059172957919970286,0.15905184269918024
4802291,14215.792,15613.3902,2461.0043,5411.4196,12499.5575,80806.5041,18594.0135,6646.9933,5580.3674,16257.628,12539.6804,4670.3612,17913.1893,8054.4765,13.8874,0.0097,9.1298,23,57,81,828,1233.08,18.205,Austin,99400.5176,0.05120799606292021,0.12574815557946772,0.1430138326177829,0.08102971357451387,0.15707396201765836,0.05444000987767615,0.18705965410733327
4802290,18724.6304,8212.7612,2590.2329,3867.5319,15249.0918,70324.3692,17276.9082,4869.6726,3258.4346,10417.1981,8399.4069,2926.3643,24159.779,9778.7297,56.9362,0.0,0.0,31,88,120,2212,731.64,18.9685,Austin,87601.2774,0.04512940150128535,0.1740718649398948,0.21374593167825562,0.1116264324424972,0.09375054443504685,0.044148759767288874,0.1972198521861716
4802284,17978.3247,12676.1423,2593.3741,5154.6952,19236.4741,71691.4226,23015.8107,8138.9017,3600.6502,13860.1093,9902.9422,3356.6081,16859.092,9277.1337,59.4057,0.0,0.0,43,102,145,1413,655.17,19.2139,Austin,94707.2333,0.04879016475017295,0.2031130074939324,0.18982852993415514,0.09795488076114287,0.13384414277739462,0.05442710755327752,0.24301805553794445
4802309,11851.1852,21478.6961,1399.2992,2574.1011,5184.2613,88526.7576,5959.7147,1085.8593,688.9664,5009.4106,8856.0648,3370.529,27709.1387,21393.49,5.7995,0.0085,3.4752,51,167,219,2116,433.36,14.1056,Austin,94486.4723,0.04867643568022646,0.054867181582970555,0.12542599470088692,0.22641615316023225,0.22731792455834382,0.027242776606693078,0.06307412564787174
4802305,20572.4694,11183.4586,705.9888,1601.3187,15955.0884,90390.3344,7259.7707,654.9053,848.1092,4221.5394,5557.6712,1795.73,27928.8201,20262.2462,46.7353,0.0,0.0,137,276,413,6596,238.24,19.7536,Austin,97650.1051,0.05030623902409683,0.16338871315036455,0.21067318571492544,0.20749633277831692,0.1145246496549889,0.016398367415915705,0.07434396868899336
4805000,166314.0,162115.0,17174.0,36932.0,114795.0,853468.0,120679.0,31172.0,23189.0,92576.0,101017.0,36600.0,257286.0,161752.0,26.1569,0.0164,3.5796,657,1818,2487,32036,393.86,16.9,Austin,974147.0,0.5018496577799061,0.11784143682479459,0.17072765123985267,0.16604458460110785,0.16641721791760594,0.03791210370498117,0.12388158678147468
3701411,15333.2951,24430.6298,1737.9557,4978.9787,9066.9218,110916.8966,11353.9025,3089.7346,2087.6829,8104.3828,10686.3341,5148.172,34903.8181,22739.2255,22.4758,0.0,0.0,124,600,724,6195,170.05,14.0413,Charlotte,122270.79909999999,0.06804262246758334,0.07415382669379567,0.12540336539466196,0.18597277268655157,0.19980592401375732,0.04072058100599257,0.09285790005195074
3701413,18908.3191,16944.2444,2303.5429,8692.7257,16258.3206,110051.2619,17413.3753,4677.0085,5280.1772,18963.2177,17040.8265,8874.2554,20782.6328,11310.5332,71.6474,0.0,0.0,26,126,152,1592,841.69,17.3978,Charlotte,127464.6372,0.07093294761142262,0.1275506164417464,0.1483405215346933,0.08873397919984666,0.13293186126244855,0.0681966206026231,0.1366123112276726
3701410,19422.2801,17728.6439,2724.4509,8614.8539,18090.1835,116439.2662,21509.5468,5993.5637,6270.9687,20685.772,15886.3985,6651.1888,25356.4355,10844.4367,56.3464,0.0,0.0011,50,204,254,2199,544.55,17.3563,Charlotte,137948.813,0.0767672990763193,0.13113597696576798,0.1407923626543807,0.07861146357625001,0.12851517167333892,0.06244918867704446,0.15592298628197487
3701409,19510.402,18316.2069,2193.7255,7070.9891,14442.2706,112355.247,13126.2093,3026.2542,1956.1565,11007.8891,16111.674,9428.2847,25564.5293,13348.2752,15.9517,0.0,0.0,52,249,301,2816,418.62,17.2468,Charlotte,125481.4563,0.06982932491281524,0.11509394241910452,0.15548310556939582,0.1063756288615144,0.14596627640289506,0.05635041987937241,0.10460593207243425
3701412,19159.7443,17452.5145,3549.6031,8870.0954,20425.7905,107356.7317,27279.7287,9553.3487,7332.7544,20129.9168,16943.261,7073.8393,17640.009,7905.577,61.0391,0.0,0.0,43,159,203,1274,665.29,17.9792,Charlotte,134636.4604,0.07492400403694537,0.15170956462871604,0.14230619207371797,0.05871751425281637,0.12962599300484132,0.06588133327565349,0.20261618585907312
3701408,11792.7402,27238.8418,1949.5236,4019.3552,5590.0196,116105.8459,7271.5157,1555.9415,1148.9627,8404.6822,10469.8167,5827.2763,33460.9662,22869.2665,5.7771,0.0,0.0,57,173,230,2688,537.39,12.9921,Charlotte,123377.3616,0.06865841474978399,0.045307941583169795,0.09558191604320997,0.18535881173510413,0.22077487046156397,0.03257747264492771,0.058936717960112704
3701414,21955.6449,15660.1144,2856.841,6497.6897,19609.5187,109271.4403,17588.674,5877.4079,5717.4174,14849.507,15093.5882,4987.4958,29024.0805,16592.7848,72.2599,0.0,0.0,177,474,651,11998,198.02,17.4809,Charlotte,126860.1143,0.07059653594354706,0.15457470012148553,0.17306835921430969,0.1307948845598308,0.12344298319000341,0.051218923433340835,0.13864511672510194
3712000,125790.0,137972.0,17471.0,48913.0,103649.0,783496.0,115438.0,33803.0,30017.0,102181.0,102621.0,48460.0,186979.0,105447.0,43.9012,0.0,0.0002,562,2127,2694,31553,335.5,16.4,Charlotte,898934.0,0.5002488512015831,0.11530199625111938,0.13993225316624672,0.11730214086669226,0.15348384477186894,0.05441216550696101,0.12841640385567366
3903813,943.3957,2499.9726,261.9349,392.7903,777.8324,11967.0252,769.0191,127.036,356.5019,1573.1543,1289.6378,492.6134,2370.6298,1600.6143,28.2156,0.0,0.0,8,8,16,258,799.84,14.9684,Columbus,12736.0443,0.005016093692294913,0.061068516500331245,0.07406708163839865,0.12566606995313662,0.19627572465929166,0.030838418297720768,0.06037657417898751
3901843,752.3367,1308.6436,99.0014,253.7674,485.4456,6290.829,345.1951,62.8249,145.8612,1315.2757,813.818,355.1918,1398.4151,656.2993,18.9508,1.0,60.031,0,1,1,122,6673.25,15.5409,Columbus,6636.0241,0.0026135994698076727,0.0731420577484418,0.11335452285008277,0.09888457388605837,0.19717324817307808,0.03823511805539474,0.05201052381292393
3901842,734.316,1548.3181,207.3515,353.9178,776.6756,7696.6871,752.8821,114.7292,260.3187,2357.9747,1335.4534,512.146,989.1364,485.6146,34.9225,1.0199,52.2349,1,1,2,77,4239.44,17.1343,Columbus,8449.5692,0.003327864584039597,0.09190808117398767,0.0868954484154748,0.057465312514096686,0.18322056933159012,0.04188094217369405,0.08909247201951793
3900819,749.1447,2665.3674,161.3575,237.0574,108.5148,10382.1622,165.8912,49.9129,139.1284,1841.737,1589.3949,753.0907,1849.11,1178.5271,7.8831,0.0,0.0,1,2,3,100,3524.49,15.3722,Columbus,10548.0534,0.00415435302197637,0.01028668600729616,0.07101534816384567,0.11171875383624467,0.25266413003464366,0.022471912029566558,0.01572569535006809
3902139,227.0134,757.0593,62.0786,184.9344,278.053,3768.3239,132.0242,16.9469,63.2871,865.9825,472.5933,329.1648,441.1771,288.1151,17.6182,1.0,38.3273,0,0,0,11,544.55,16.5434,Columbus,3900.3480999999997,0.0015361529091230037,0.07127100501490755,0.05818845029491216,0.07385013913523893,0.1940506923747717,0.04740269139275217,0.033840661385739976
3902141,345.0513,801.0867,56.9555,172.8967,311.8814,3422.7193,53.6644,26.431,200.3943,1124.1437,554.5134,271.2943,423.0848,186.3014,24.5091,1.0,54.6757,0,1,1,51,3670.29,17.2999,Columbus,3476.3837000000003,0.001369174442143457,0.08968852071170633,0.09922727250375045,0.05357516341955591,0.23037052252818688,0.04972034003610243,0.015432406840809657
3902510,1126.0788,803.3696,99.3966,348.7185,654.4971,4576.2828,1033.73,326.0321,156.0118,1893.978,728.639,187.4071,283.6197,342.4178,102.7269,0.0,0.0,3,7,10,292,566.12,20.9258,Columbus,5610.0128,0.002209504706243345,0.11664509123914314,0.20069082715334385,0.06102602367971785,0.14317728877752692,0.06214894038381092,0.18423233680735854
3901866,905.2628,852.5789,195.9269,585.8448,2111.2707,6373.6977,514.3468,90.9143,505.0129,2094.0143,876.1399,497.0693,399.977,100.2689,124.7412,1.0,117.7014,0,6,6,60,1182.1,22.4126,Columbus,6888.0445,0.002712857756681694,0.3064678563188262,0.13140614783370902,0.01455483412830328,0.1237586576774181,0.08504006615140895,0.07466155865301785
3901840,592.0554,1335.4759,148.8566,323.9456,1067.1428,7425.3403,472.85,54.9273,328.7363,2321.1231,943.215,645.8329,862.3554,260.8287,81.7511,1.0,72.7294,3,3,6,87,1332.28,19.3339,Columbus,7898.1903,0.0031107038897764255,0.13509521349295764,0.07495140356347663,0.033019675446988535,0.169064910361762,0.041009975414821945,0.05986056570886766
3901841,694.5576,1052.775,215.9863,377.8819,1089.2667,6655.8429,317.8685,23.8898,148.2456,1406.9753,879.0403,504.53,986.3257,454.698,45.3036,1.0,73.6621,14,48,62,895,116.16,17.8098,Columbus,6973.711399999999,0.0027465976830361003,0.15617373071522359,0.09958227088793954,0.06519237484148807,0.15094172928789573,0.054178858210534704,0.04557443050618554
3901839,634.5895,975.0963,165.9216,432.2902,1240.458,6119.8469,375.2452,193.4562,384.3768,2099.7904,737.6075,336.1209,463.4051,154.8043,98.7354,1.0,88.0725,8,32,40,178,162.48,20.1231,Columbus,6495.0921,0.002558093372342033,0.19095449708910378,0.09768788530569018,0.023830373340919846,0.15010506085651096,0.06654619321053037,0.0577647598315301
3901865,884.8187,652.7675,194.6768,508.5353,1648.3731,5551.4951,612.2277,161.8542,485.2669,2016.7723,1044.6621,254.5699,281.669,160.3561,127.121,1.0,115.5456,4,23,27,435,230.96,21.3685,Columbus,6163.7228000000005,0.002427583504725588,0.2673880324351324,0.14352935707019948,0.026011891402481224,0.1058875672398441,0.08249118678945304,0.09931147269103487
3900728,1138.3787,1140.7793,286.7341,321.9264,734.4392,6538.8173,739.2573,96.0841,503.8774,2436.5447,1192.5636,282.2442,443.4229,140.4429,99.7249,1.0024,100.1025,2,21,23,57,317.92,20.1605,Columbus,7278.0746,0.0028664711925595163,0.10089733109755464,0.15639058019820268,0.01929405971467857,0.15672037486743162,0.04422628118140182,0.1015592421597108
