feature label,population_proxy,total_family_households,insurance_rate,uninsured_rate,poverty_rate,housing_cost_burden_rate,bachelors_or_higher_rate,low_education_rate,some_college_or_higher_rate,married_household_share,single_parent_household_share,single_female_household_share,mh_provider_per_capita,health_workers_per_capita,female_provider_share,male_provider_share,mh_provider_share_of_health_workers,environmental_risk_index,Poor Mental Health Among Adults (2023)
"Council District 5, Austin, TX",96047.4967,22382.2697,0.8965333752420431,0.10346662475795687,0.10101371439491146,0.1693107780913149,0.4690093791897858,0.03617043045745512,0.6483051900300073,0.7818879244404779,0.21811207555952203,0.14715567921156808,0.002207241284613303,0.022530519527845225,0.7405660377358491,0.24056603773584906,0.09796672828096119,11.8838,16.1234
"Council District 6, Austin, TX",97237.0521,25400.396500000003,0.9255281855670324,0.07447181443296758,0.06130322105887864,0.14233819311764181,0.48259027280815725,0.02905228756929788,0.6252133984633621,0.8024843746041523,0.19751562539584763,0.12416877035758082,0.0009975621216924983,0.018244074266829814,0.7731958762886598,0.2268041237113402,0.05467869222096956,0.7176,14.5732
"Council District 7, Austin, TX",97170.1722,21568.1097,0.9035773346092721,0.09642266539072779,0.08579275935460368,0.1902892140804501,0.4947055790027714,0.031509306103709875,0.6615107243784426,0.7960410225472841,0.20395897745271577,0.13688093862022596,0.0012040731980919551,0.031110369895999836,0.7692307692307693,0.2222222222222222,0.0387032748924909,10.6234,15.9657
"Council District 10, Austin, TX",97999.609,25102.5521,0.9388833877898431,0.06111661221015688,0.05896361382421434,0.16402312890860615,0.5560080581545994,0.010910776184831513,0.6766899569976856,0.8528888941136786,0.1471111058863214,0.10876188560923253,0.006612271279572146,0.07399009112373091,0.7515432098765432,0.24845679012345678,0.08936698386429458,8.6406,13.7408
"Council District 1, Austin, TX",104666.274,23740.7967,0.8409466376915261,0.15905336230847386,0.1592544480947129,0.16399055057601458,0.34287792455476157,0.08444333749761647,0.5018164590439133,0.6619406500372417,0.33805934996275844,0.26087886932623455,0.0009649717730469702,0.00982169289794342,0.7524752475247525,0.24752475247524752,0.09824902723735408,20.23935,17.7182
"Council District 2, Austin, TX",99400.5176,23485.8141,0.8129384640145979,0.18706153598540215,0.12574942064486794,0.14301527138124276,0.2612427623817524,0.12301103651395875,0.4343811123172661,0.6648008935743045,0.3351991064256955,0.2304122640568802,0.0008148850927110262,0.008329936503268269,0.7037037037037037,0.2839506172839506,0.09782608695652174,11.5086,18.205
"Council District 3, Austin, TX",87601.2774,14670.526,0.8027778964784821,0.19722210352151784,0.17407385203266454,0.2137483716647264,0.38742024896545624,0.092785258859707,0.5167079892376089,0.5598136835720819,0.4401863164279181,0.2636259872345409,0.0013698430383847348,0.025250773340891944,0.7333333333333333,0.25833333333333336,0.054249547920433995,28.4681,18.9685
"Council District 4, Austin, TX",94707.2333,20424.211600000002,0.7569793784695007,0.2430206215304993,0.20311515213484752,0.1898305343061901,0.2759686329048322,0.12395623323524962,0.4159743097468353,0.6206429187210339,0.37935708127896595,0.2523815998851089,0.0015310340609432625,0.014919662952502277,0.7034482758620689,0.296551724137931,0.10261854210898796,29.70285,19.2139
"Council District 8, Austin, TX",94486.4723,25452.096400000002,0.9369252068055037,0.06307479319449627,0.05486776227119235,0.12542732215011482,0.5196789286840588,0.01878391326077691,0.6490793973689291,0.8438871110043414,0.1561128889956585,0.10113513085704011,0.0023177921100140386,0.022394740204519203,0.7625570776255708,0.2328767123287671,0.10349716446124764,4.63735,14.1056
"Council District 9, Austin, TX",97650.1051,13490.766099999999,0.9256552699808616,0.07434473001913851,0.16339038635607162,0.21067534314410075,0.493507572271932,0.015391836992503145,0.5688111389446934,0.8289713510042992,0.17102864899570086,0.11869738813424392,0.004229386128945395,0.06754729033056617,0.6682808716707022,0.33171912832929784,0.0626137052759248,23.36765,19.7536
