district_id,label,city,composite_index,poor_mh_pct
0,"Council District 5, Austin, TX",Austin,31.42,16.1234
1,"Council District 6, Austin, TX",Austin,17.3,14.5732
2,"Council District 7, Austin, TX",Austin,28.4,15.9657
3,"Council District 10, Austin, TX",Austin,15.33,13.7408
4,"Council District 1, Austin, TX",Austin,55.55,17.7182
5,"Council District 2, Austin, TX",Austin,58.07,18.205
6,"Council District 3, Austin, TX",Austin,59.43,18.9685
7,"Council District 4, Austin, TX",Austin,68.86,19.2139
8,"Council District 8, Austin, TX",Austin,13.44,14.1056
9,"Council District 9, Austin, TX",Austin,34.49,19.7536
10,"Austin, TX",Austin,39.29,16.9
11,"Council District 6, Charlotte, NC",Charlotte,26.55,14.0413
12,"Council District 2, Charlotte, NC",Charlotte,58.76,17.3978
13,"Council District 3, Charlotte, NC",Charlotte,58.75,17.3563
14,"Council District 4, Charlotte, NC",Charlotte,43.06,17.2468
15,"Council District 5, Charlotte, NC",Charlotte,69.33,17.9792
16,"Council District 7, Charlotte, NC",Charlotte,14.74,12.9921
17,"Council District 1, Charlotte, NC",Charlotte,54.95,17.4809
18,"Charlotte, NC",Charlotte,48.05,16.4
19,"Council District 3, Delaware, OH",Columbus,29.89,14.9684
20,"Council District 5, Newark, OH",Columbus,36.09,15.5409
21,"Council District 6, Newark, OH",Columbus,48.85,17.1343
22,"Council District 3, Grove, OH",Columbus,15.47,15.3722
23,"Council District 3, Heath, OH",Columbus,38.81,16.5434
24,"Council District 2, Heath, OH",Columbus,44.07,17.2999
25,"Council District 4, Whitehall, OH",Columbus,68.78,20.9258
26,"Council District 1, Newark, OH",Columbus,84.71,22.4126
27,"Council District 4, Newark, OH",Columbus,55.3,19.3339
28,"Council District 3, Newark, OH",Columbus,52.23,17.8098
29,"Council District 7, Newark, OH",Columbus,70.13,20.1231
30,"Council District 2, Newark, OH",Columbus,86.6,21.3685
31,"Council District 6, Lancaster, OH",Columbus,66.05,20.1605
32,"Council District 2, Lancaster, OH",Columbus,42.47,17.4177
33,"Council District 1, Lancaster, OH",Columbus,60.28,18.4535
34,"Council District 5, Lancaster, OH",Columbus,77.42,19.6966
35,"Council District 3, Lancaster, OH",Columbus,51.14,18.7911
36,"Council District 4, Lancaster, OH",Columbus,45.7,17.0829
37,"Council District 2, Delaware, OH",Columbus,35.25,15.1624
38,"Council District 1, Delaware, OH",Columbus,34.61,16.5133
